State,Longitude,Latitude,Total Users,Total Exp,Title III Exp,Per Capita,Total Senior Centers,% Funded Centers,% Title III Exp,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk
Hawaii,-157.498337,21.094318,7176,15532451,,2164.5,38,7.90%,26.50%,31.30%,68.50%,61.40%,36.20%,74.70%,26.50%,20.90%,35.30%
Idaho,-114.478828,44.240459,17854,8860808,,496.3,94,61.70%,40.30%,38.20%,61.20%,50.90%,38.00%,4.80%,19.70%,1.50%,28.10%
Illinois,-88.986137,40.349457,118425,86145448,,727.4,187,59.90%,35.80%,34.00%,65.20%,22.80%,53.40%,32.90%,37.50%,11.90%,30.40%
Indiana,-86.258278,39.849426,89304,53695593,,601.3,174,44.80%,29.10%,34.30%,65.00%,25.10%,31.50%,18.30%,42.90%,9.20%,22.90%
Iowa,-93.210526,42.011539,44220,34283005,,775.3,110,33.60%,31.20%,32.20%,65.60%,54.50%,50.60%,5.20%,37.20%,2.70%,25.60%
Kansas,-96.726486,38.5266,34558,22698229,,656.8,347,0.00%,35.20%,36.80%,63.20%,64.10%,45.40%,8.70%,20.60%,3.40%,32.00%
Kentucky,-84.670067,37.66814,24058,26620983,,1106.5,361,100.00%,65.50%,33.30%,66.60%,66.30%,56.20%,10.60%,44.60%,5.70%,32.40%
Louisiana,-91.867805,31.169546,39860,50732997,,1272.8,139,0.00%,21.80%,33.00%,66.20%,39.50%,45.30%,35.80%,37.90%,18.10%,41.50%
Maine,-69.381927,45.2538,17476,10848256,,620.8,11,100.00%,41.90%,42.40%,57.10%,66.80%,54.30%,4.00%,55.50%,2.80%,30.90%
Maryland,-76.802101,39.063946,37944,24664783,,650,115,93.90%,61.20%,28.20%,71.60%,26.60%,20.80%,47.70%,15.30%,7.30%,21.90%
Massachusetts,-71.530106,42.230171,108150,367990340,,3402.6,330,35.20%,5.60%,32.30%,66.20%,5.50%,46.60%,13.20%,11.40%,2.80%,16.60%
Michigan,-84.536095,43.326618,124736,82387420,,660.5,347,53.90%,31.00%,33.80%,62.40%,45.10%,40.40%,17.90%,25.60%,9.10%,32.20%
Minnesota,-93.900192,45.694454,51897,33190671,,639.5,349,2.90%,35.80%,34.40%,63.90%,68.10%,47.60%,7.70%,17.90%,4.00%,31.80%
Mississippi,-89.678696,32.741646,15735,17003254,,1080.6,40,100.00%,51.50%,32.30%,66.90%,80.90%,48.00%,50.10%,62.80%,37.10%,49.80%
Missouri,-92.288368,38.456085,103956,56444699,,543,231,98.30%,35.80%,37.90%,61.70%,64.50%,52.80%,18.80%,38.20%,11.20%,25.40%
Montana,-110.454353,46.921925,25986,21950678,,844.7,154,100.00%,15.50%,38.10%,58.40%,52.60%,36.30%,8.10%,14.10%,1.80%,48.50%
Nebraska,-98.268082,41.12537,28048,27897422,,994.6,190,98.40%,23.60%,33.60%,65.90%,79.10%,47.20%,5.40%,18.70%,2.40%,17.40%
Nevada,-117.055374,38.313515,25061,11495318,,458.7,56,83.90%,55.80%,41.50%,57.00%,44.00%,40.00%,19.40%,31.80%,9.10%,32.10%
New Hampshire,-71.563896,43.452492,32181,35561116,,1105,62,0.00%,13.60%,33.80%,65.70%,74.90%,46.20%,0.50%,15.30%,0.10%,28.70%
New Jersey,-74.521011,40.298904,62731,88873806,,1416.7,283,41.70%,32.60%,31.60%,67.20%,0.00%,44.70%,30.80%,25.80%,12.70%,26.00%
New Mexico,-106.248482,34.840515,42326,31405817,,742,137,97.80%,19.50%,41.40%,57.60%,31.60%,39.10%,45.70%,27.20%,17.50%,19.90%
New York,-74.948051,42.165726,248943,424318714,,1704.5,752,62.90%,13.80%,31.40%,64.40%,16.10%,44.70%,35.10%,31.50%,19.80%,25.40%
North Carolina,-79.806419,35.630066,46801,68725351,,1468.5,163,42.90%,35.50%,31.60%,68.40%,44.00%,48.00%,47.10%,43.90%,24.20%,53.90%
North Dakota,-99.784012,47.528912,17688,12858452,,727,204,0.00%,37.70%,38.20%,61.70%,68.30%,49.20%,4.50%,20.30%,2.50%,14.70%
Ohio,-82.764915,40.388783,87008,83615478,,961,212,62.70%,33.10%,35.20%,63.90%,40.00%,47.80%,22.00%,35.10%,11.10%,34.00%
Oklahoma,-96.928917,35.565342,27253,23099186,,847.6,508,28.90%,50.70%,37.10%,62.90%,55.20%,41.90%,16.80%,31.00%,7.40%,27.40%
Oregon,-122.070938,44.572021,45684,29982140,,656.3,134,24.60%,29.10%,33.30%,52.60%,30.10%,40.70%,8.60%,13.90%,2.60%,26.10%
Pennsylvania,-77.209755,40.590752,122634,309202209,,2521.3,417,32.10%,32.70%,30.70%,68.40%,27.00%,47.10%,18.80%,23.00%,6.50%,23.20%
Rhode Island,-71.51178,41.680893,8362,5015329,,599.8,46,21.70%,73.20%,31.50%,67.80%,4.60%,49.80%,8.00%,12.50%,2.40%,29.70%
South Carolina,-80.945007,33.856892,20425,27461135,,1344.5,133,97.70%,43.50%,28.00%,71.90%,62.80%,3.00%,54.20%,47.80%,30.70%,69.80%
South Dakota,-99.438828,44.299782,15414,14300882,,927.8,124,54.80%,38.00%,35.60%,63.70%,81.00%,49.40%,6.50%,33.50%,4.60%,19.80%
Tennessee,-86.692345,35.747845,29356,35363162,,1204.6,133,85.70%,44.50%,32.90%,66.70%,45.70%,51.10%,22.90%,39.90%,11.80%,28.60%
Texas,-97.563461,31.054487,140195,108976527,,777.3,163,98.20%,47.80%,36.30%,63.60%,34.50%,44.50%,53.40%,50.00%,31.50%,35.10%
Utah,-111.862434,40.150032,32244,27489890,,852.6,202,98.00%,19.30%,37.80%,60.40%,30.40%,28.30%,8.60%,14.30%,2.30%,14.40%
Vermont,-72.710686,44.045876,19924,17230860,,864.8,93,65.60%,28.70%,34.00%,62.60%,93.30%,35.70%,7.10%,19.30%,2.20%,13.80%
Virginia,-78.169968,37.769337,25832,44839131,,1735.8,137,72.30%,47.10%,29.30%,69.00%,33.70%,44.80%,38.30%,37.70%,17.70%,44.10%
Washington,-121.490494,47.400902,55186,30651197,,555.4,138,58.70%,50.70%,34.50%,55.50%,21.00%,38.90%,15.40%,28.70%,10.00%,5.10%
West Virginia,-80.954453,38.491226,29215,19889227,,680.8,120,100.00%,33.60%,37.20%,62.50%,75.50%,49.60%,3.50%,34.00%,1.50%,40.00%
Wisconsin,-89.616508,44.268543,67112,54276581,,808.7,115,16.50%,22.70%,36.40%,63.60%,68.50%,49.00%,7.10%,22.40%,3.40%,26.10%
Wyoming,-107.30249,42.755966,21847,18723154,,857,78,100.00%,27.20%,39.20%,60.30%,73.90%,36.30%,3.30%,21.10%,1.20%,19.60%
