"Year","Geography Group","Geography","Totals - All Services","Totals - Registered Services","Totals - Unregistered Services","Persons Served, by Service - Personal Care","Persons Served, by Service - Homemaker","Persons Served, by Service - Chore","Persons Served, by Service - Home Delivered Meals","Persons Served, by Service - Adult Day Care","Persons Served, by Service - Case Management","Persons Served, by Service - Congregate Meals","Persons Served, by Service - Nutrition Counseling","Persons Served, by Service - Assisted Transportation","Persons Served, by Service - Health Promotion","Persons Served, by Service - Cash & Counseling","Characteristics - Male","Characteristics - Female","Characteristics - Rural","Characteristics - Living Alone","Characteristics - Minority","Characteristics - Poverty","Characteristics - Minority and Poverty","Characteristics Percentages - Rural","Characteristics Percentages - Living Alone","Characteristics Percentages - Minority","Characteristics Percentages - Poverty","Characteristics Percentages - Minority and Poverty","Ethnicity - Hispanic","Ethnicity - Not Hispanic","Ethnicity - Percent Hispanic","Ethnicity - Percent Not Hispanic","Race - White Alone, Not Hispanic","Race - White Alone, Hispanic","Race - Native American Alone","Race - Asian Alone","Race - Black/African American Alone","Race - Hawaiian Pacific Islander Alone","Race - Other Race","Race - Two or More Races","Race Percentages - White Alone, Not Hispanic","Race Percentages - White Alone, Hispanic","Race Percentages - Native American Alone","Race Percentages - Asian Alone","Race Percentages - Black/African American Alone","Race Percentages - Hawaiian Pacific Islander Alone","Race Percentages - Other Race","Race Percentages - Two or More Races","Number of Persons Served at High Nutrition Risk - Total","Number of Persons Served at High Nutrition Risk - Home Delivered Meals","Number of Persons Served at High Nutrition Risk - Congregate Meals","Number of Persons Served at High Nutrition Risk - Nutrition Counseling"
"2015","States","Georgia","40,865","30,331","10,534","628","2,891","0","13,262","449","4,655","14,590","271","0","943,673","7","8,650","21,592","10,112","13,640","13,525","14,150","7,342","33.3 %","45.0 %","44.6 %","46.7 %","24.2 %","371","28,055","1.2 %","92.5 %","14,650","218","36","201","12,622","30","333","85","48.3 %","0.7 %","0.1 %","0.7 %","41.6 %","0.1 %","1.1 %","0.3 %","8,464","6,450","2,108","171"
"2015","States","Hawaii","38,329","7,176","36,936","953","563","45","2,610","207","1,149","3,256","63","98","1,995","21","2,246","4,914","4,405","2,601","5,360","1,904","1,499","61.4 %","36.2 %","74.7 %","26.5 %","20.9 %","255","6,789","3.6 %","94.6 %","1,516","106","21","3,704","38","680","35","776","21.1 %","1.5 %","0.3 %","51.6 %","0.5 %","9.5 %","0.5 %","10.8 %","2,533","1,857","718","1"
"2015","States","Idaho","57,936","17,854","44,837","0","1,254","47","3,841","1","11","13,677","0","0","2,147","0","6,829","10,919","9,087","6,777","861","3,525","272","50.9 %","38.0 %","4.8 %","19.7 %","1.5 %","447","16,920","2.5 %","94.8 %","15,710","379","201","80","25","36","64","76","88.0 %","2.1 %","1.1 %","0.4 %","0.1 %","0.2 %","0.4 %","0.4 %","5,008","2,868","2,300","0"
"2015","States","Illinois","521,442","118,425","437,352","0","0","1,518","33,350","0","0","82,936","0","621","27,029","0","40,221","77,236","26,962","63,200","38,909","44,420","14,140","22.8 %","53.4 %","32.9 %","37.5 %","11.9 %","5,274","111,300","4.5 %","94.0 %","77,900","4,455","360","4,248","27,426","214","357","1,849","65.8 %","3.8 %","0.3 %","3.6 %","23.2 %","0.2 %","0.3 %","1.6 %","35,972","18,954","17,599","0"
"2015","States","Indiana","223,696","89,304","159,557","2,997","2,378","335","8,608","110","72,011","16,814","0","236","12,875","0","30,666","58,009","22,383","28,157","16,384","38,312","8,242","25.1 %","31.5 %","18.3 %","42.9 %","9.2 %","828","82,261","0.9 %","92.1 %","64,857","198","42","17","4,372","4","2,682","9,069","72.6 %","0.2 %","0.0 %","0.0 %","4.9 %","0.0 %","3.0 %","10.2 %","20,459","8,291","12,168","0"
"2015","States","Iowa","360,809","44,220","346,376","327","1,332","714","11,817","347","8,182","25,208","258","1,436","6,109","0","14,247","29,018","24,087","22,365","2,299","16,448","1,183","54.5 %","50.6 %","5.2 %","37.2 %","2.7 %","708","36,641","1.6 %","82.9 %","34,393","598","119","380","1,086","71","0","45","77.8 %","1.4 %","0.3 %","0.9 %","2.5 %","0.2 %","0.0 %","0.1 %","11,324","6,543","5,347","66"
"2015","States","Kansas","258,921","34,558","224,363","372","784","0","11,415","0","780","23,683","0","0","2,874","0","12,701","21,857","22,137","15,674","3,013","7,131","1,162","64.1 %","45.4 %","8.7 %","20.6 %","3.4 %","819","30,590","2.4 %","88.5 %","30,986","901","182","124","1,707","23","37","39","89.7 %","2.6 %","0.5 %","0.4 %","4.9 %","0.1 %","0.1 %","0.1 %","11,071","6,906","4,165","0"
"2015","States","Kentucky","152,479","24,058","142,971","138","719","1,171","5,817","0","2,546","15,069","153","794","6,140","0","8,003","16,030","15,959","13,520","2,547","10,737","1,360","66.3 %","56.2 %","10.6 %","44.6 %","5.7 %","95","23,937","0.4 %","99.5 %","21,440","175","35","37","1,660","20","49","571","89.1 %","0.7 %","0.1 %","0.2 %","6.9 %","0.1 %","0.2 %","2.4 %","7,792","5,340","2,607","68"
"2015","States","Louisiana","74,325","39,860","67,334","630","5,501","713","19,914","0","0","17,810","366","121","1,734","0","13,164","26,403","15,731","18,057","14,288","15,125","7,218","39.5 %","45.3 %","35.8 %","37.9 %","18.1 %","618","33,864","1.6 %","85.0 %","19,878","688","166","56","12,731","65","119","463","49.9 %","1.7 %","0.4 %","0.1 %","31.9 %","0.2 %","0.3 %","1.2 %","16,552","12,008","4,918","127"
"2015","States","Maine","101,352","17,476","86,322","6","66","0","4,468","149","67","13,061","1,008","0","1,638","0","7,404","9,974","11,672","9,492","697","9,691","485","66.8 %","54.3 %","4.0 %","55.5 %","2.8 %","71","14,253","0.4 %","81.6 %","14,346","55","66","45","57","14","35","425","82.1 %","0.3 %","0.4 %","0.3 %","0.3 %","0.1 %","0.2 %","2.4 %","5,395","2,601","2,850","539"
"2015","States","Maryland","197,367","37,944","178,756","262","276","90","7,284","101","1,892","32,211","326","1,377","53,960","0","10,719","27,161","10,100","7,879","18,083","5,788","2,782","26.6 %","20.8 %","47.7 %","15.3 %","7.3 %","731","33,900","1.9 %","89.3 %","16,574","572","149","3,634","13,165","202","222","139","43.7 %","1.5 %","0.4 %","9.6 %","34.7 %","0.5 %","0.6 %","0.4 %","8,316","4,273","3,874","247"
"2015","States","Massachusetts","313,523","108,150","248,868","19,365","46,024","3,134","47,844","1,630","4,868","28,448","1,058","390","6,343","0","34,975","71,630","5,932","50,397","14,293","12,374","3,018","5.5 %","46.6 %","13.2 %","11.4 %","2.8 %","4,832","68,793","4.5 %","63.6 %","45,629","2,812","152","5,071","4,031","99","882","1,246","42.2 %","2.6 %","0.1 %","4.7 %","3.7 %","0.1 %","0.8 %","1.2 %","17,939","16,291","2,084","237"
"2015","States","Michigan","373,963","124,736","249,227","5,030","9,979","3,993","56,474","0","15,067","57,128","3","1,746","9,493","0","42,195","77,791","56,299","50,455","22,296","31,921","11,399","45.1 %","40.4 %","17.9 %","25.6 %","9.1 %","4,748","104,746","3.8 %","84.0 %","91,147","1,138","705","741","19,622","90","0","0","73.1 %","0.9 %","0.6 %","0.6 %","15.7 %","0.1 %","0.0 %","0.0 %","40,173","35,619","5,897","2"
"2015","States","Minnesota","183,632","51,897","131,735","0","1,227","3,009","11,969","0","0","37,997","0","2,818","4,562","67","17,863","33,148","35,340","24,678","3,999","9,279","2,081","68.1 %","47.6 %","7.7 %","17.9 %","4.0 %","422","46,513","0.8 %","89.6 %","45,922","662","952","803","1,342","20","135","85","88.5 %","1.3 %","1.8 %","1.5 %","2.6 %","0.0 %","0.3 %","0.2 %","16,493","6,700","10,450","0"
"2015","States","Mississippi","68,819","15,735","55,620","0","2,668","0","9,458","269","460","4,602","0","0","111","0","5,083","10,521","12,722","7,554","7,880","9,883","5,841","80.9 %","48.0 %","50.1 %","62.8 %","37.1 %","80","15,310","0.5 %","97.3 %","6,745","63","23","13","7,666","6","55","54","42.9 %","0.4 %","0.1 %","0.1 %","48.7 %","0.0 %","0.3 %","0.3 %","7,838","6,261","1,632","0"
"2015","States","Missouri","124,489","103,956","49,738","406","1,434","0","33,591","99","13,616","65,594","50","188","7,990","0","39,427","64,133","67,042","54,909","19,595","39,667","11,664","64.5 %","52.8 %","18.8 %","38.2 %","11.2 %","857","102,964","0.8 %","99.0 %","81,455","525","245","635","8,648","151","0","9,391","78.4 %","0.5 %","0.2 %","0.6 %","8.3 %","0.1 %","0.0 %","9.0 %","26,451","21,324","6,873","45"
"2015","States","Montana","59,973","25,986","33,987","393","1,437","48","7,264","0","125","19,698","1","186","120","0","9,906","15,165","13,660","9,436","2,099","3,656","467","52.6 %","36.3 %","8.1 %","14.1 %","1.8 %","202","19,783","0.8 %","76.1 %","19,966","132","1,567","47","12","12","78","251","76.8 %","0.5 %","6.0 %","0.2 %","0.0 %","0.0 %","0.3 %","1.0 %","12,593","2,606","9,060","1"
"2015","States","Nebraska","34,980","28,048","18,806","258","1,593","1,168","8,186","0","5,608","19,709","1,053","557","12,424","432","9,424","18,471","22,180","13,244","1,502","5,248","680","79.1 %","47.2 %","5.4 %","18.7 %","2.4 %","441","25,085","1.6 %","89.4 %","25,879","146","205","297","522","22","302","8","92.3 %","0.5 %","0.7 %","1.1 %","1.9 %","0.1 %","1.1 %","0.0 %","4,877","3,178","2,229","607"
"2015","States","Nevada","56,743","25,061","35,123","0","1,049","0","7,353","138","3,177","17,209","0","0","201","0","10,395","14,281","11,021","10,035","4,862","7,963","2,293","44.0 %","40.0 %","19.4 %","31.8 %","9.1 %","1,747","21,266","7.0 %","84.9 %","17,489","1,159","315","579","1,544","158","370","737","69.8 %","4.6 %","1.3 %","2.3 %","6.2 %","0.6 %","1.5 %","2.9 %","8,055","5,367","2,964","0"
"2015","States","New Hampshire","40,615","32,181","14,840","638","3,679","0","12,483","495","1,147","18,237","12,052","0","1","0","10,892","21,133","24,092","14,880","146","4,928","28","74.9 %","46.2 %","0.5 %","15.3 %","0.1 %","42","27,734","0.1 %","86.2 %","13,044","0","78","19","30","19","0","0","40.5 %","0.0 %","0.2 %","0.1 %","0.1 %","0.1 %","0.0 %","0.0 %","9,236","3,151","2,527","3,151"
"2015","States","New Jersey","223,154","62,731","192,546","30","1,555","1,263","22,017","840","12,595","28,725","1,102","2,903","9,764","0","19,825","42,159","0","28,046","19,316","16,196","7,980","0.0 %","44.7 %","30.8 %","25.8 %","12.7 %","6,915","52,286","11.0 %","83.3 %","39,123","6,740","188","2,584","8,397","131","500","776","62.4 %","10.7 %","0.3 %","4.1 %","13.4 %","0.2 %","0.8 %","1.2 %","16,288","11,019","4,313","1,102"
"2015","States","New Mexico","128,159","42,326","110,879","0","1,573","989","10,363","223","1,868","31,695","0","34","601","0","17,533","24,392","13,370","16,549","19,360","11,514","7,394","31.6 %","39.1 %","45.7 %","27.2 %","17.5 %","16,059","22,211","37.9 %","52.5 %","17,209","15,157","2,839","172","404","43","442","303","40.7 %","35.8 %","6.7 %","0.4 %","1.0 %","0.1 %","1.0 %","0.7 %","8,433","4,059","4,896","0"
"2015","States","New York","648,943","248,943","400,000","7,667","5,068","0","62,636","1,657","52,322","175,584","6,334","2,484","139,779","0","78,243","160,198","40,128","111,391","87,441","78,375","49,351","16.1 %","44.7 %","35.1 %","31.5 %","19.8 %","30,205","167,347","12.1 %","67.2 %","122,556","29,984","1,372","22,271","29,589","324","1,622","2,279","49.2 %","12.0 %","0.6 %","8.9 %","11.9 %","0.1 %","0.7 %","0.9 %","63,326","25,568","38,800","3,633"
"2015","States","North Carolina","56,044","46,801","9,243","4,033","91","2,561","18,242","1,069","134","23,456","0","0","7,422","0","14,782","32,019","20,592","22,471","22,028","20,536","11,320","44.0 %","48.0 %","47.1 %","43.9 %","24.2 %","8,714","38,087","18.6 %","81.4 %","23,759","5,348","409","433","15,492","41","0","305","50.8 %","11.4 %","0.9 %","0.9 %","33.1 %","0.1 %","0.0 %","0.7 %","25,233","12,676","12,557","0"
"2015","States","North Dakota","23,497","17,688","7,921","0","0","0","5,114","0","0","13,550","0","0","4,045","0","6,756","10,916","12,083","8,702","789","3,584","439","68.3 %","49.2 %","4.5 %","20.3 %","2.5 %","90","17,437","0.5 %","98.6 %","16,508","67","485","54","34","9","30","110","93.3 %","0.4 %","2.7 %","0.3 %","0.2 %","0.1 %","0.2 %","0.6 %","2,602","1,366","1,459","0"
"2015","States","Ohio","309,869","87,008","236,312","1,523","3,470","2,315","37,525","205","1,248","46,900","104","584","5,030","0","30,596","55,615","34,834","41,585","19,176","30,572","9,659","40.0 %","47.8 %","22.0 %","35.1 %","11.1 %","1,116","77,605","1.3 %","89.2 %","59,232","1,439","227","549","10,579","60","276","6,046","68.1 %","1.7 %","0.3 %","0.6 %","12.2 %","0.1 %","0.3 %","6.9 %","29,560","18,420","12,022","88"
"2015","States","Oklahoma","33,687","27,253","26,336","0","1,163","193","9,594","0","61","17,611","297","79","834","0","10,105","17,141","15,042","11,407","4,570","8,440","2,007","55.2 %","41.9 %","16.8 %","31.0 %","7.4 %","373","22,137","1.4 %","81.2 %","18,664","172","1,403","79","2,513","51","257","95","68.5 %","0.6 %","5.1 %","0.3 %","9.2 %","0.2 %","0.9 %","0.3 %","7,457","4,908","2,781","128"
"2015","States","Oregon","235,447","45,684","198,361","1,830","3,794","234","13,478","45","8,638","27,488","1,148","488","8,892","31","15,233","24,033","13,766","18,604","3,935","6,333","1,200","30.1 %","40.7 %","8.6 %","13.9 %","2.6 %","1,052","32,177","2.3 %","70.4 %","31,140","204","576","1,683","1,165","41","11","255","68.2 %","0.4 %","1.3 %","3.7 %","2.6 %","0.1 %","0.0 %","0.6 %","11,910","6,707","4,871","456"
"2015","States","Pennsylvania","342,792","122,634","296,839","14,501","6,705","0","32,924","904","33,950","66,972","3","42","24,321","0","37,619","83,937","33,093","57,784","23,056","28,253","8,024","27.0 %","47.1 %","18.8 %","23.0 %","6.5 %","3,903","111,522","3.2 %","90.9 %","84,294","2,998","127","1,810","12,145","126","1,586","4,264","68.7 %","2.4 %","0.1 %","1.5 %","9.9 %","0.1 %","1.3 %","3.5 %","28,494","21,151","8,516","2"
"2015","States","Rhode Island","106,321","8,362","97,959","0","0","0","1,936","0","913","5,554","0","0","446","0","2,630","5,668","385","4,168","670","1,047","199","4.6 %","49.8 %","8.0 %","12.5 %","2.4 %","300","7,056","3.6 %","84.4 %","6,512","307","18","45","213","17","49","21","77.9 %","3.7 %","0.2 %","0.5 %","2.5 %","0.2 %","0.6 %","0.3 %","2,487","1,936","551","0"
"2015","States","South Carolina","22,437","20,425","8,237","227","2,575","0","12,307","0","4","8,794","0","310","3,077","95","5,719","14,678","12,828","614","11,062","9,770","6,280","62.8 %","3.0 %","54.2 %","47.8 %","30.7 %","112","19,962","0.5 %","97.7 %","9,092","44","54","48","10,836","5","51","24","44.5 %","0.2 %","0.3 %","0.2 %","53.1 %","0.0 %","0.2 %","0.1 %","14,256","9,916","5,963","0"
"2015","States","South Dakota","17,726","15,414","12,178","0","0","0","2,765","170","5,598","8,589","0","0","360","0","5,480","9,816","12,492","7,613","1,004","5,167","708","81.0 %","49.4 %","6.5 %","33.5 %","4.6 %","156","15,076","1.0 %","97.8 %","14,270","191","583","46","42","21","47","74","92.6 %","1.2 %","3.8 %","0.3 %","0.3 %","0.1 %","0.3 %","0.5 %","3,054","1,533","1,598","0"
"2015","States","Tennessee","140,085","29,356","134,419","846","2,715","23","8,140","30","12,987","12,933","54","158","3,756","4","9,664","19,589","13,412","15,008","6,709","11,703","3,477","45.7 %","51.1 %","22.9 %","39.9 %","11.8 %","318","27,263","1.1 %","92.9 %","21,116","374","112","92","5,590","23","118","400","71.9 %","1.3 %","0.4 %","0.3 %","19.0 %","0.1 %","0.4 %","1.4 %","8,389","5,223","3,250","39"
"2015","States","Texas","754,041","140,195","640,322","819","1,284","35","61,576","45","13,641","64,038","0","0","5,614","6","50,919","89,160","48,304","62,364","74,797","70,074","44,226","34.5 %","44.5 %","53.4 %","50.0 %","31.5 %","43,482","94,281","31.0 %","67.2 %","63,093","42,571","325","2,328","24,192","81","479","4,821","45.0 %","30.4 %","0.2 %","1.7 %","17.3 %","0.1 %","0.3 %","3.4 %","49,161","35,061","14,829","0"
"2015","States","Utah","249,495","32,244","224,496","32","169","1,184","9,515","4","58","23,249","0","887","13,284","0","12,181","19,472","9,790","9,125","2,773","4,603","747","30.4 %","28.3 %","8.6 %","14.3 %","2.3 %","1,063","25,557","3.3 %","79.3 %","23,313","1,262","227","432","167","225","198","262","72.3 %","3.9 %","0.7 %","1.3 %","0.5 %","0.7 %","0.6 %","0.8 %","4,626","3,171","3,538","0"
"2015","States","Vermont","60,738","19,924","42,448","0","61","0","4,910","0","6,801","11,095","108","0","2,642","0","6,784","12,479","18,599","7,117","1,420","3,839","433","93.3 %","35.7 %","7.1 %","19.3 %","2.2 %","73","16,315","0.4 %","81.9 %","15,274","50","43","157","19","19","24","1,108","76.7 %","0.3 %","0.2 %","0.8 %","0.1 %","0.1 %","0.1 %","5.6 %","2,743","1,311","1,530","67"
"2015","States","Virginia","55,650","25,832","44,228","973","1,172","309","12,381","330","60","12,145","0","111","3,362","0","7,572","17,815","8,696","11,568","9,888","9,728","4,562","33.7 %","44.8 %","38.3 %","37.7 %","17.7 %","384","20,045","1.5 %","77.6 %","13,155","821","51","1,307","7,538","16","108","47","50.9 %","3.2 %","0.2 %","5.1 %","29.2 %","0.1 %","0.4 %","0.2 %","11,395","9,354","2,213","0"
"2015","States","Washington","213,202","55,186","168,571","160","0","332","11,699","204","902","43,060","0","0","20,298","0","19,015","30,616","11,608","21,490","8,476","15,832","5,524","21.0 %","38.9 %","15.4 %","28.7 %","10.0 %","173","16,981","0.3 %","30.8 %","25,435","844","900","4,354","1,412","479","487","0","46.1 %","1.5 %","1.6 %","7.9 %","2.6 %","0.9 %","0.9 %","0.0 %","2,817","1,352","1,662","0"
"2015","States","West Virginia","156,451","29,215","135,883","136","710","56","8,590","21","0","20,149","0","1,633","3,165","0","10,878","18,263","22,052","14,498","1,028","9,933","431","75.5 %","49.6 %","3.5 %","34.0 %","1.5 %","147","27,415","0.5 %","93.8 %","22,970","145","24","31","543","15","37","233","78.6 %","0.5 %","0.1 %","0.1 %","1.9 %","0.1 %","0.1 %","0.8 %","11,692","6,168","6,057","0"
"2015","States","Wisconsin","505,849","67,112","449,371","943","568","933","21,019","35","838","45,590","160","1,644","7,863","0","24,401","42,700","45,963","32,907","4,779","15,005","2,266","68.5 %","49.0 %","7.1 %","22.4 %","3.4 %","858","65,946","1.3 %","98.3 %","61,886","861","1,226","294","2,104","47","52","195","92.2 %","1.3 %","1.8 %","0.4 %","3.1 %","0.1 %","0.1 %","0.3 %","17,542","10,671","7,822","87"
"2015","States","Wyoming","46,869","21,847","37,459","429","1,518","58","4,679","5","2,142","17,655","186","827","2,573","0","8,554","13,180","16,141","7,921","729","4,615","256","73.9 %","36.3 %","3.3 %","21.1 %","1.2 %","574","19,292","2.6 %","88.3 %","15,801","282","141","37","39","7","95","128","72.3 %","1.3 %","0.6 %","0.2 %","0.2 %","0.0 %","0.4 %","0.6 %","4,288","2,142","2,661","133"
"2015","States","Guam","3,437","3,419","2,311","273","495","504","1,746","153","2,038","1,377","0","362","144","0","1,363","2,054","3,395","404","3,298","1,930","1,885","99.3 %","11.8 %","96.5 %","56.4 %","55.1 %","13","3,406","0.4 %","99.6 %","117","4","5","1,363","3","1,880","38","5","3.4 %","0.1 %","0.1 %","39.9 %","0.1 %","55.0 %","1.1 %","0.1 %","761","613","148","0"
"2015","States","Puerto Rico","341,806","66,765","341,806","14,240","1,569","190","8,537","538","34,384","9,475","880","6,139","4,124","0","29,376","37,389","32,717","6,677","66,765","26,038","26,038","49.0 %","10.0 %","100.0 %","39.0 %","39.0 %","66,765","0","100.0 %","0.0 %","0","66,765","0","0","0","0","0","0","0.0 %","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","0.0 %","0.0 %","10,807","5,122","5,685","528"
