Geography,Total Users,# Male,# Female,# High Nutrition Risk,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk,# Senior Centers,# Sr Ctrs receiving Title III Funds,% Sr Ctrs Receiving Title III Funds,Title III Exp,Total Exp,% Title III Exp
Nevada,"25,061","10,395","14,281","8,055",41.50%,57.00%,44.00%,40.00%,19.40%,31.80%,9.10%,32.14%,56,47,83.90%,"$6,418,038 ","$11,495,318 ",55.80%
New Hampshire,"32,181","10,892","21,133","9,236",33.80%,65.70%,74.90%,46.20%,0.50%,15.30%,0.10%,28.70%,62,0,0.00%,"$4,820,311 ","$35,561,116 ",13.60%
New Jersey,"62,731","19,825","42,159","16,288",31.60%,67.20%,0.00%,44.70%,30.80%,25.80%,12.70%,25.96%,283,118,41.70%,"$28,973,313 ","$88,873,806 ",32.60%
New Mexico,"42,326","17,533","24,392","8,433",41.40%,57.60%,31.60%,39.10%,45.70%,27.20%,17.50%,19.92%,137,134,97.80%,"$6,116,197 ","$31,405,817 ",19.50%
New York,"248,943","78,243","160,198","63,326",31.40%,64.40%,16.10%,44.70%,35.10%,31.50%,19.80%,25.44%,752,473,62.90%,"$58,598,771 ","$424,318,714 ",13.80%
North Carolina,"46,801","14,782","32,019","25,233",31.60%,68.40%,44.00%,48.00%,47.10%,43.90%,24.20%,53.92%,163,70,42.90%,"$24,428,313 ","$68,725,351 ",35.50%
North Dakota,"17,688","6,756","10,916","2,602",38.20%,61.70%,68.30%,49.20%,4.50%,20.30%,2.50%,14.71%,204,0,0.00%,"$4,845,949 ","$12,858,452 ",37.70%
Ohio,"87,008","30,596","55,615","29,560",35.20%,63.90%,40.00%,47.80%,22.00%,35.10%,11.10%,33.97%,212,133,62.70%,"$27,670,243 ","$83,615,478 ",33.10%
Oklahoma,"27,253","10,105","17,141","7,457",37.10%,62.90%,55.20%,41.90%,16.80%,31.00%,7.40%,27.36%,508,147,28.90%,"$11,712,435 ","$23,099,186 ",50.70%
Oregon,"45,684","15,233","24,033","11,910",33.30%,52.60%,30.10%,40.70%,8.60%,13.90%,2.60%,26.07%,134,33,24.60%,"$8,724,708 ","$29,982,140 ",29.10%
Pennsylvania,"122,634","37,619","83,937","28,494",30.70%,68.40%,27.00%,47.10%,18.80%,23.00%,6.50%,23.23%,417,134,32.10%,"$101,141,496 ","$309,202,209 ",32.70%
Rhode Island,"8,362","2,630","5,668","2,487",31.50%,67.80%,4.60%,49.80%,8.00%,12.50%,2.40%,29.74%,46,10,21.70%,"$3,671,785 ","$5,015,329 ",73.20%
South Carolina,"20,425","5,719","14,678","14,256",28.00%,71.90%,62.80%,3.00%,54.20%,47.80%,30.70%,69.80%,133,130,97.70%,"$11,940,994 ","$27,461,135 ",43.50%
South Dakota,"15,414","5,480","9,816","3,054",35.60%,63.70%,81.00%,49.40%,6.50%,33.50%,4.60%,19.81%,124,68,54.80%,"$5,431,095 ","$14,300,882 ",38.00%
Tennessee,"29,356","9,664","19,589","8,389",32.90%,66.70%,45.70%,51.10%,22.90%,39.90%,11.80%,28.58%,133,114,85.70%,"$15,733,354 ","$35,363,162 ",44.50%
Texas,"140,195","50,919","89,160","49,161",36.30%,63.60%,34.50%,44.50%,53.40%,50.00%,31.50%,35.07%,163,160,98.20%,"$52,106,106 ","$108,976,527 ",47.80%
Utah,"32,244","12,181","19,472","4,626",37.80%,60.40%,30.40%,28.30%,8.60%,14.30%,2.30%,14.35%,202,198,98.00%,"$5,300,826 ","$27,489,890 ",19.30%
Vermont,"19,924","6,784","12,479","2,743",34.00%,62.60%,93.30%,35.70%,7.10%,19.30%,2.20%,13.77%,93,61,65.60%,"$4,941,978 ","$17,230,860 ",28.70%
Virginia,"25,832","7,572","17,815","11,395",29.30%,69.00%,33.70%,44.80%,38.30%,37.70%,17.70%,44.11%,137,99,72.30%,"$21,108,005 ","$44,839,131 ",47.10%
Washington,"55,186","19,015","30,616","2,817",34.50%,55.50%,21.00%,38.90%,15.40%,28.70%,10.00%,5.10%,138,81,58.70%,"$15,536,124 ","$30,651,197 ",50.70%
West Virginia,"29,215","10,878","18,263","11,692",37.20%,62.50%,75.50%,49.60%,3.50%,34.00%,1.50%,40.02%,120,120,100.00%,"$6,677,193 ","$19,889,227 ",33.60%
Wisconsin,"67,112","24,401","42,700","17,542",36.40%,63.60%,68.50%,49.00%,7.10%,22.40%,3.40%,26.14%,115,19,16.50%,"$12,303,043 ","$54,276,581 ",22.70%
Wyoming,"21,847","8,554","13,180","4,288",39.20%,60.30%,73.90%,36.30%,3.30%,21.10%,1.20%,19.63%,78,78,100.00%,"$5,099,240 ","$18,723,154 ",27.20%
