"Year","Geography Group","Geography","Age Group","Service","Poverty Level","Totals - Clients Receiving Registered Services","Totals - Total Clients, by Age Group","Characteristics - Male","Characteristics - Female","Characteristics - Rural","Characteristics - Lives Alone","Ethnicity - Hispanic","Ethnicity - Not Hispanic","Race - White Alone, Not Hispanic","Race - White Alone, Hispanic","Race - Native American Alone","Race - Asian Alone","Race - Black/African American Alone","Race - Hawaiian Pacific Islander Alone","Race - Other Race","Race - Two or More Races"
"2015","States","Alaska","Age 60-74","Total - All Services","Total - All Income Levels","0","5,925","2,531","3,305","4,764","1,955","79","5,258","3,079","91","1,839","152","74","50","25","83"
"2015","States","Alaska","Age 75-84","Total - All Services","Total - All Income Levels","0","3,254","1,331","1,865","2,540","1,099","24","3,042","1,920","44","880","124","43","18","6","56"
"2015","States","Alaska","Age 85+","Total - All Services","Total - All Income Levels","0","1,601","548","1,026","1,196","662","21","1,505","1,053","23","338","46","20","5","1","44"
"2015","States","Alaska","Total - All Age Groups","Congregate Meals","Total - All Income Levels","7,856","7,431","3,218","4,422","6,492","2,337","131","7,096","4,435","124","2,020","247","57","39","21","127"
"2015","States","Alaska","Age 60-74","Congregate Meals","Total - All Income Levels","0","4,105","1,780","2,258","3,471","1,196","60","3,579","2,238","72","1,139","115","28","28","16","62"
"2015","States","Alaska","Age 75-84","Congregate Meals","Total - All Income Levels","0","2,053","838","1,170","1,696","656","14","1,920","1,332","26","441","90","15","8","3","38"
"2015","States","Alaska","Age 85+","Congregate Meals","Total - All Income Levels","0","861","295","547","698","361","11","813","592","12","169","32","4","0","0","25"
"2015","States","Alaska","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 85+","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","1,654","1,608","564","1,080","1,501","693","12","1,525","865","15","550","54","20","13","2","32"
"2015","States","Alaska","Age 60-74","Assisted Transportation","Total - All Income Levels","0","751","250","498","672","332","8","702","387","5","263","25","10","7","2","12"
"2015","States","Alaska","Age 75-84","Assisted Transportation","Total - All Income Levels","0","521","185","332","477","218","3","495","257","6","194","21","7","6","0","8"
"2015","States","Alaska","Age 85+","Assisted Transportation","Total - All Income Levels","0","298","92","205","277","130","1","290","198","3","72","7","1","0","0","11"
"2015","States","Alaska","Total - All Age Groups","Total - All Services","In Poverty","4,705","4,515","1,843","2,658","3,485","2,141","55","4,391","1,896","45","2,040","184","76","46","12","89"
"2015","States","Alaska","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Total - All Age Groups","Congregate Meals","In Poverty","2,890","2,504","1,061","1,444","2,038","1,226","32","2,429","998","27","1,178","130","33","23","6","50"
"2015","States","Alaska","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 85+","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Total - All Age Groups","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 60-74","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 75-84","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 85+","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Total - All Age Groups","Assisted Transportation","In Poverty","750","749","262","486","687","401","5","737","370","4","295","28","9","8","1","22"
"2015","States","Alaska","Age 60-74","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 75-84","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Age 85+","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Total - All Services","Total - All Income Levels","34,575","32,154","13,032","21,341","15,801","8,377","3,699","29,300","19,823","2,012","5,904","351","1,604","64","2,024","138"
"2015","States","Arizona","Age 60-74","Total - All Services","Total - All Income Levels","0","12,679","4,775","7,900","5,722","2,950","1,617","10,414","7,682","808","2,254","150","508","21","648","68"
"2015","States","Arizona","Age 75-84","Total - All Services","Total - All Income Levels","0","9,618","3,605","6,004","3,981","2,375","1,224","8,028","6,411","632","1,313","118","293","18","459","30"
"2015","States","Arizona","Age 85+","Total - All Services","Total - All Income Levels","0","6,245","2,136","4,100","2,196","2,081","858","5,252","4,388","409","660","57","193","12","320","20"
"2015","States","Arizona","Total - All Age Groups","Congregate Meals","Total - All Income Levels","20,772","19,488","7,932","12,840","8,220","0","2,170","14,260","10,752","1,178","3,151","271","453","24","598","125"
"2015","States","Arizona","Age 60-74","Congregate Meals","Total - All Income Levels","0","8,156","3,180","4,976","4,290","0","1,143","6,532","4,474","575","1,871","128","250","9","353","62"
"2015","States","Arizona","Age 75-84","Congregate Meals","Total - All Income Levels","0","5,438","2,240","3,198","2,401","0","617","4,575","3,696","379","783","90","109","6","127","27"
"2015","States","Arizona","Age 85+","Congregate Meals","Total - All Income Levels","0","2,497","963","1,534","843","0","241","2,173","1,910","150","215","31","45","4","50","16"
"2015","States","Arizona","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 60-74","Assisted Transportation","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Assisted Transportation","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Assisted Transportation","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Total - All Services","In Poverty","16,276","13,449","4,988","9,175","7,210","3,615","2,434","11,248","6,993","1,196","3,750","197","549","37","904","50"
"2015","States","Arizona","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Congregate Meals","In Poverty","6,439","5,722","2,465","3,971","3,848","0","1,164","4,976","2,451","728","2,392","140","211","10","312","46"
"2015","States","Arizona","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 60-74","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Total - All Age Groups","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 60-74","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 75-84","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arizona","Age 85+","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Total - All Services","Total - All Income Levels","41,230","41,122","14,825","26,088","23,564","19,749","334","40,424","33,294","641","207","101","5,533","34","71","515"
"2015","States","Arkansas","Age 60-74","Total - All Services","Total - All Income Levels","0","17,061","6,447","10,444","9,427","7,739","164","16,666","13,389","298","116","57","2,537","17","34","201"
"2015","States","Arkansas","Age 75-84","Total - All Services","Total - All Income Levels","0","13,853","4,921","8,874","8,163","6,496","98","13,655","11,680","188","60","14","1,491","12","25","177"
"2015","States","Arkansas","Age 85+","Total - All Services","Total - All Income Levels","0","8,765","2,848","5,881","5,078","4,896","51","8,657","7,253","101","19","23","1,123","2","9","115"
"2015","States","Arkansas","Total - All Age Groups","Congregate Meals","Total - All Income Levels","22,855","22,825","8,586","14,065","13,068","10,343","180","22,396","19,400","302","130","66","2,363","18","47","181"
"2015","States","Arkansas","Age 60-74","Congregate Meals","Total - All Income Levels","0","10,359","3,876","6,352","5,706","4,218","88","10,107","8,499","154","77","48","1,248","9","26","82"
"2015","States","Arkansas","Age 75-84","Congregate Meals","Total - All Income Levels","0","8,201","3,069","5,101","4,910","3,709","64","8,076","7,300","103","35","9","583","7","14","74"
"2015","States","Arkansas","Age 85+","Congregate Meals","Total - All Income Levels","0","3,632","1,392","2,228","2,210","2,052","17","3,600","3,244","31","12","4","286","1","5","22"
"2015","States","Arkansas","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Nutrition Counseling","Total - All Income Levels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","17","17","7","10","7","12","0","17","15","0","1","0","1","0","0","0"
"2015","States","Arkansas","Age 60-74","Assisted Transportation","Total - All Income Levels","0","7","3","4","0","6","0","7","6","0","0","0","1","0","0","0"
"2015","States","Arkansas","Age 75-84","Assisted Transportation","Total - All Income Levels","0","6","3","3","5","4","0","6","5","0","1","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Assisted Transportation","Total - All Income Levels","0","2","1","1","2","1","0","2","2","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Total - All Services","In Poverty","12,366","12,354","3,884","8,440","7,909","7,768","133","12,147","8,635","269","77","22","2,943","7","28","223"
"2015","States","Arkansas","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Congregate Meals","In Poverty","4,536","4,534","1,528","2,992","2,918","3,087","55","4,440","3,136","84","41","8","1,141","1","13","52"
"2015","States","Arkansas","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 60-74","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 75-84","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Total - All Age Groups","Assisted Transportation","In Poverty","8","8","3","5","2","6","0","8","8","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 60-74","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 75-84","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Arkansas","Age 85+","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Total - All Age Groups","Total - All Services","Total - All Income Levels","227,593","225,294","85,187","139,062","29,136","87,645","50,967","151,516","98,762","30,045","2,261","34,484","19,188","2,207","14,038","2,379"
"2015","States","California","Age 60-74","Total - All Services","Total - All Income Levels","0","103,712","40,613","61,483","13,283","38,055","25,490","65,629","39,881","15,084","1,252","17,002","10,071","748","6,654","1,221"
"2015","States","California","Age 75-84","Total - All Services","Total - All Income Levels","0","69,142","25,530","42,924","8,672","26,944","15,476","46,739","29,905","9,051","596","11,345","5,305","909","4,439","658"
"2015","States","California","Age 85+","Total - All Services","Total - All Income Levels","0","47,688","16,697","30,563","6,121","21,317","8,093","35,742","26,760","4,824","333","5,540","3,202","504","2,497","428"
"2015","States","California","Total - All Age Groups","Congregate Meals","Total - All Income Levels","165,459","163,516","62,566","100,141","20,000","56,719","40,138","103,825","63,506","23,961","1,638","30,847","11,384","1,864","10,189","1,731"
"2015","States","California","Age 60-74","Congregate Meals","Total - All Income Levels","0","81,612","31,681","48,531","9,952","26,232","21,694","48,645","27,785","12,959","927","15,996","6,672","617","5,320","981"
"2015","States","California","Age 75-84","Congregate Meals","Total - All Income Levels","0","50,445","18,889","30,996","5,967","18,034","11,780","32,742","19,807","6,980","429","10,115","2,926","810","3,168","439"
"2015","States","California","Age 85+","Congregate Meals","Total - All Income Levels","0","27,375","10,093","17,018","3,205","11,321","4,924","19,653","14,165","3,046","216","4,156","1,294","394","1,296","250"
"2015","States","California","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","2,970","2,956","1,151","1,804","37","1,518","578","2,272","1,064","262","28","292","742","17","255","20"
"2015","States","California","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","1,470","647","808","15","822","285","1,126","521","139","16","112","416","8","103","14"
"2015","States","California","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","826","291","535","11","367","177","622","271","80","6","93","198","3","81","2"
"2015","States","California","Age 85+","Nutrition Counseling","Total - All Income Levels","0","637","203","434","11","320","112","494","253","42","6","85","123","5","66","4"
"2015","States","California","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","1,197","1,183","263","915","161","708","163","895","739","98","11","72","79","7","74","20"
"2015","States","California","Age 60-74","Assisted Transportation","Total - All Income Levels","0","475","132","337","66","271","68","345","282","41","8","27","33","3","29","9"
"2015","States","California","Age 75-84","Assisted Transportation","Total - All Income Levels","0","397","83","310","44","230","67","294","224","39","3","35","34","2","28","7"
"2015","States","California","Age 85+","Assisted Transportation","Total - All Income Levels","0","311","46","263","42","202","28","253","231","18","0","10","12","1","17","4"
"2015","States","California","Total - All Age Groups","Total - All Services","In Poverty","100,001","99,349","38,067","61,139","11,444","47,545","27,499","64,684","35,744","14,867","1,198","17,315","10,836","1,014","8,892","1,117"
"2015","States","California","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Total - All Age Groups","Congregate Meals","In Poverty","68,346","67,839","26,724","41,069","7,101","30,536","20,486","41,675","20,060","11,099","799","15,240","6,167","836","6,354","783"
"2015","States","California","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 85+","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Total - All Age Groups","Nutrition Counseling","In Poverty","1,505","1,502","620","882","6","858","361","1,117","549","168","12","146","360","5","179","11"
"2015","States","California","Age 60-74","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 75-84","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 85+","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Total - All Age Groups","Assisted Transportation","In Poverty","568","565","128","439","101","377","94","449","334","61","7","43","38","4","46","8"
"2015","States","California","Age 60-74","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 75-84","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","California","Age 85+","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Colorado","Total - All Age Groups","Total - All Services","Total - All Income Levels","32,655","32,364","11,461","20,699","9,665","16,141","3,692","20,984","18,631","3,426","380","398","1,727","42","460","265"
"2015","States","Colorado","Age 60-74","Total - All Services","Total - All Income Levels","0","13,967","5,318","8,455","3,911","6,825","1,578","8,227","7,289","1,501","213","167","953","24","230","89"
"2015","States","Colorado","Age 75-84","Total - All Services","Total - All Income Levels","0","9,987","3,363","6,478","3,163","4,855","1,209","6,679","5,837","1,108","77","156","442","13","115","91"
"2015","States","Colorado","Age 85+","Total - All Services","Total - All Income Levels","0","7,282","2,293","4,931","2,255","3,987","736","5,421","4,930","664","49","65","226","3","80","79"
"2015","States","Colorado","Total - All Age Groups","Congregate Meals","Total - All Income Levels","17,511","17,329","6,575","10,550","6,094","7,836","1,730","11,172","9,767","1,578","228","297","761","24","260","137"
"2015","States","Colorado","Age 60-74","Congregate Meals","Total - All Income Levels","0","7,885","3,205","4,516","2,590","3,351","791","4,576","3,922","748","119","122","485","12","142","42"
"2015","States","Colorado","Age 75-84","Congregate Meals","Total - All Income Levels","0","5,420","1,949","3,356","2,052","2,435","571","3,682","3,228","503","43","126","127","8","60","51"
"2015","States","Colorado","Age 85+","Congregate Meals","Total - All Income Levels","0","3,050","1,016","1,998","1,204","1,622","226","2,359","2,141","200","28","40","53","2","25","38"
"2015","States","Colorado","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","773","771","238","535","183","426","103","547","492","85","5","3","12","0","11","7"
"2015","States","Colorado","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","333","101","232","71","174","41","219","195","37","4","0","7","0","7","4"
"2015","States","Colorado","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","217","67","150","59","119","35","152","129","30","1","3","4","0","1","1"
"2015","States","Colorado","Age 85+","Nutrition Counseling","Total - All Income Levels","0","207","65","142","51","126","26","164","155","17","0","0","1","0","3","2"
"2015","States","Colorado","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","3,316","3,297","832","2,434","735","1,809","330","2,372","2,053","311","31","32","141","5","50","25"
"2015","States","Colorado","Age 60-74","Assisted Transportation","Total - All Income Levels","0","1,372","383","975","300","735","150","924","794","141","21","14","63","4","29","10"
"2015","States","Colorado","Age 75-84","Assisted Transportation","Total - All Income Levels","0","1,050","251","781","233","565","110","764","649","103","5","9","48","1","14","10"
"2015","States","Colorado","Age 85+","Assisted Transportation","Total - All Income Levels","0","859","189","657","193","499","68","662","592","66","5","8","29","0","7","5"
"2015","States","Colorado","Total - All Age Groups","Total - All Services","In Poverty","8,848","8,802","2,944","5,811","2,121","5,723","1,687","5,607","4,341","1,504","176","203","836","14","202","119"
"2015","States","Colorado","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Colorado","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Colorado","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Colorado","Total - All Age Groups","Congregate Meals","In Poverty","4,112","4,078","1,536","2,504","997","2,654","700","2,657","1,950","612","99","160","399","9","95","53"
"2015","States","Colorado","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Colorado","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
